id,doi,year,journal,membrane_detailed,membrane,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,membrane_type,solute_name,secondary_solute_name,secondary_solute_ratio,solvent,pressure,flux_lmh,permeance,rejection,temperature,process_configuration,exclude,solute_smiles,secondary_solute_smiles,loss_weight,solute_category,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,batch,date,solute_identifier,secondary_solute_identifier,source
312,10.1111/j.1749-6632.2003.tb05996.x,2003.0,Wiley Online Library,SM122,SM122,SM,220,-1.0,0.0,1,1,,tetraoctylammonium bromide (TOABr),tetraoctylammonium bromide (TOABr),0.5,Methanol,30.0,15.0,0.5,0.99,23.0,DE,0,CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC,CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC,1.0,ligand,CO,32.042,-0.77,0.593,791.0,32.6,15.1,12.3,22.3,40.7,466.90300000000053,11.24519999999999,466.90300000000053,11.24519999999999,,,,,cat
313,10.3311/PPch.12719,2018.0,Periodica Polytechnica Chemical Engineering,PBI,PBI,PBI,200,34.0,-15.0,0,0,,(S)-1 amphorsulfon-amide-based organocatalyst,(S)-1 amphorsulfon-amide-based organocatalyst,0.5,Toluene,30.0,52.0,1.733333333,0.7,23.0,CF,0,Cc1nc(NS(CC2(CCC3CC2=O)C3(C)C)(=O)=O)ccc1,Cc1nc(NS(CC2(CCC3CC2=O)C3(C)C)(=O)=O)ccc1,1.0,organocatalyst,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,322.43,2.527120000000001,322.43,2.527120000000001,,,,,cat
314,10.3311/PPch.12719,2018.0,Periodica Polytechnica Chemical Engineering,PBI,PBI,PBI,200,34.0,-15.0,0,0,,(S)-1 amphorsulfon-amide-based organocatalyst,(S)-1 amphorsulfon-amide-based organocatalyst,0.5,2-propanol,30.0,20.0,0.666666667,0.998,23.0,CF,0,Cc1nc(NS(CC2(CCC3CC2=O)C3(C)C)(=O)=O)ccc1,Cc1nc(NS(CC2(CCC3CC2=O)C3(C)C)(=O)=O)ccc1,1.0,organocatalyst,C(C)(C)O,60.096,0.05,2.27,785.0,18.6,15.8,6.1,16.4,76.8,322.43,2.527120000000001,322.43,2.527120000000001,,,,,cat
315,10.3311/PPch.12719,2018.0,Periodica Polytechnica Chemical Engineering,PBI,PBI,PBI,200,34.0,-15.0,0,0,,(S)-1 amphorsulfon-amide-based organocatalyst,(S)-1 amphorsulfon-amide-based organocatalyst,0.5,Tetrahydrofuran,30.0,80.0,2.666666667,0.92,23.0,CF,0,Cc1nc(NS(CC2(CCC3CC2=O)C3(C)C)(=O)=O)ccc1,Cc1nc(NS(CC2(CCC3CC2=O)C3(C)C)(=O)=O)ccc1,1.0,organocatalyst,C1CCOC1,72.107,0.46,0.55,889.0,7.58,16.8,5.7,8.0,81.7,322.43,2.527120000000001,322.43,2.527120000000001,,,,,cat
316,10.3311/PPch.12719,2018.0,Periodica Polytechnica Chemical Engineering,PBI,PBI,PBI,200,34.0,-15.0,0,0,,"(S,S)-2 amphorsulfon-amide-based organocatalyst","(S,S)-2 amphorsulfon-amide-based organocatalyst",0.5,Toluene,30.0,52.0,1.733333333,0.8,23.0,CF,0,O=C1CC2CCC1(CS(Nc3cccc(NS(CC4(CCC5CC4=O)C5(C)C)(=O)=O)n3)(=O)=O)C2(C)C,O=C1CC2CCC1(CS(Nc3cccc(NS(CC4(CCC5CC4=O)C5(C)C)(=O)=O)n3)(=O)=O)C2(C)C,1.0,organocatalyst,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,537.7040000000004,3.355800000000002,537.7040000000004,3.355800000000002,,,,,cat
317,10.3311/PPch.12719,2018.0,Periodica Polytechnica Chemical Engineering,PBI,PBI,PBI,200,34.0,-15.0,0,0,,"(S,S)-2 amphorsulfon-amide-based organocatalyst","(S,S)-2 amphorsulfon-amide-based organocatalyst",0.5,2-propanol,30.0,20.0,0.666666667,0.998,23.0,CF,0,O=C1CC2CCC1(CS(Nc3cccc(NS(CC4(CCC5CC4=O)C5(C)C)(=O)=O)n3)(=O)=O)C2(C)C,O=C1CC2CCC1(CS(Nc3cccc(NS(CC4(CCC5CC4=O)C5(C)C)(=O)=O)n3)(=O)=O)C2(C)C,1.0,organocatalyst,C(C)(C)O,60.096,0.05,2.27,785.0,18.6,15.8,6.1,16.4,76.8,537.7040000000004,3.355800000000002,537.7040000000004,3.355800000000002,,,,,cat
318,10.3311/PPch.12719,2018.0,Periodica Polytechnica Chemical Engineering,PBI,PBI,PBI,200,34.0,-15.0,0,0,,"(S,S)-2 amphorsulfon-amide-based organocatalyst","(S,S)-2 amphorsulfon-amide-based organocatalyst",0.5,Tetrahydrofuran,30.0,80.0,2.666666667,0.95,23.0,CF,0,O=C1CC2CCC1(CS(Nc3cccc(NS(CC4(CCC5CC4=O)C5(C)C)(=O)=O)n3)(=O)=O)C2(C)C,O=C1CC2CCC1(CS(Nc3cccc(NS(CC4(CCC5CC4=O)C5(C)C)(=O)=O)n3)(=O)=O)C2(C)C,1.0,organocatalyst,C1CCOC1,72.107,0.46,0.55,889.0,7.58,16.8,5.7,8.0,81.7,537.7040000000004,3.355800000000002,537.7040000000004,3.355800000000002,,,,,cat
319,10.1002/cctc.201500902,2015.0,Wiley Online Library,DM200,DM200,DM,200,59.0,-20.0,0,0,,Quinine-based Catalyst 3a,Quinine-based Catalyst 3a,0.5,Ethanol,30.0,24.2,0.806666667,0.97,23.0,CF,0,[H][C@@]1([C@@H](c(ccn2)c3c2ccc(OC)c3)OC(C(C)(C)C)=O)C[C@@H]4CC[N@]1C[C@@H]4C=C,[H][C@@]1([C@@H](c(ccn2)c3c2ccc(OC)c3)OC(C(C)(C)C)=O)C[C@@H]4CC[N@]1C[C@@H]4C=C,1.0,organocatalyst,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,408.5420000000002,4.770200000000004,408.5420000000002,4.770200000000004,,,,,cat
320,10.1002/cctc.201500902,2015.0,Wiley Online Library,DM200,DM200,DM,200,59.0,-20.0,0,0,,Quinine-based Catalyst 3b,Quinine-based Catalyst 3b,0.5,Ethanol,30.0,24.9,0.83,0.98,23.0,CF,0,[H][C@@]1([C@@H](c(ccn2)c3c2ccc(OC)c3)OC(CCCCCCCCCCC)=O)C[C@@H]4CC[N@]1C[C@@H]4C=C,[H][C@@]1([C@@H](c(ccn2)c3c2ccc(OC)c3)OC(CCCCCCCCCCC)=O)C[C@@H]4CC[N@]1C[C@@H]4C=C,1.0,organocatalyst,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,506.7310000000005,7.6450000000000085,506.7310000000005,7.6450000000000085,,,,,cat
321,10.1002/cctc.201500902,2015.0,Wiley Online Library,DM200,DM200,DM,200,59.0,-20.0,0,0,,Quinine-based Catalyst 3c,Quinine-based Catalyst 3c,0.5,Ethanol,30.0,25.2,0.84,0.99,23.0,CF,0,[H][C@@]1([C@@H](c(ccn2)c3c2ccc(OC)c3)OC(C45CC6CC(CC(C5)C6)C4)=O)C[C@@H]7CC[N@]1C[C@@H]7C=C,[H][C@@]1([C@@H](c(ccn2)c3c2ccc(OC)c3)OC(C45CC6CC(CC(C5)C6)C4)=O)C[C@@H]7CC[N@]1C[C@@H]7C=C,1.0,organocatalyst,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,486.6560000000004,5.940500000000006,486.6560000000004,5.940500000000006,,,,,cat
322,10.1002/cctc.201500902,2015.0,Wiley Online Library,DM300,DM300,DM,300,59.0,-37.5,0,0,,Quinine-based Catalyst 3a,Quinine-based Catalyst 3a,0.5,Ethanol,30.0,30.6,1.02,0.95,23.0,CF,0,[H][C@@]1([C@@H](c(ccn2)c3c2ccc(OC)c3)OC(C(C)(C)C)=O)C[C@@H]4CC[N@]1C[C@@H]4C=C,[H][C@@]1([C@@H](c(ccn2)c3c2ccc(OC)c3)OC(C(C)(C)C)=O)C[C@@H]4CC[N@]1C[C@@H]4C=C,1.0,organocatalyst,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,408.5420000000002,4.770200000000004,408.5420000000002,4.770200000000004,,,,,cat
323,10.1002/cssc.202000453,2020.0,ChemSusChem,,GMT-oNF-1,GMT-oNF,600,-1.0,0.0,1,1,,TEMPO,TEMPO,0.5,Acetonitrile,30.0,,0.22,0.29,20.0,CF,0,CC1(CCCC(N1[O])(C)C)C,CC1(CCCC(N1[O])(C)C)C,1.0,organocatalyst,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,156.249,2.375000000000001,156.249,2.375000000000001,,,,,cat
324,10.1002/cssc.202000453,2020.0,ChemSusChem,,SS336,SS,500,82.0,0.0,0,1,,TEMPO,TEMPO,0.5,Acetonitrile,30.0,,0.32,0.63,20.0,CF,0,CC1(CCCC(N1[O])(C)C)C,CC1(CCCC(N1[O])(C)C)C,1.0,organocatalyst,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,156.249,2.375000000000001,156.249,2.375000000000001,,,,,cat
325,10.1002/cssc.202000453,2020.0,ChemSusChem,,DM300,DM,300,59.0,-37.5,0,0,,TEMPO,TEMPO,0.5,Acetonitrile,30.0,,0.73,0.7,20.0,CF,0,CC1(CCCC(N1[O])(C)C)C,CC1(CCCC(N1[O])(C)C)C,1.0,organocatalyst,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,156.249,2.375000000000001,156.249,2.375000000000001,,,,,cat
326,10.1002/cssc.202000453,2020.0,ChemSusChem,,GMT-oNF-1,GMT-oNF,600,-1.0,0.0,1,1,,TEMPO-Hub,TEMPO-Hub,0.5,Acetonitrile,30.0,,0.22,0.94,20.0,CF,0,CC1(CC(CC(C)(N1[O])C)OCc2cc(COC(CC3(C)C)CC(C)(N3[O])C)cc(COC(CC4(C)C)CC(C)(N4[O])C)c2)C,CC1(CC(CC(C)(N1[O])C)OCc2cc(COC(CC3(C)C)CC(C)(N3[O])C)cc(COC(CC4(C)C)CC(C)(N4[O])C)c2)C,1.0,organocatalyst,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,630.8910000000002,7.33770000000001,630.8910000000002,7.33770000000001,,,,,cat
327,10.1002/cssc.202000453,2020.0,ChemSusChem,,SS336,SS,500,82.0,0.0,0,1,,TEMPO-Hub,TEMPO-Hub,0.5,Acetonitrile,30.0,,0.32,0.98,20.0,CF,0,CC1(CC(CC(C)(N1[O])C)OCc2cc(COC(CC3(C)C)CC(C)(N3[O])C)cc(COC(CC4(C)C)CC(C)(N4[O])C)c2)C,CC1(CC(CC(C)(N1[O])C)OCc2cc(COC(CC3(C)C)CC(C)(N3[O])C)cc(COC(CC4(C)C)CC(C)(N4[O])C)c2)C,1.0,organocatalyst,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,630.8910000000002,7.33770000000001,630.8910000000002,7.33770000000001,,,,,cat
328,10.1002/cssc.202000453,2020.0,ChemSusChem,,DM300,DM,300,59.0,-37.5,0,0,,TEMPO-Hub,TEMPO-Hub,0.5,Acetonitrile,30.0,,0.73,0.99,20.0,CF,0,CC1(CC(CC(C)(N1[O])C)OCc2cc(COC(CC3(C)C)CC(C)(N3[O])C)cc(COC(CC4(C)C)CC(C)(N4[O])C)c2)C,CC1(CC(CC(C)(N1[O])C)OCc2cc(COC(CC3(C)C)CC(C)(N3[O])C)cc(COC(CC4(C)C)CC(C)(N4[O])C)c2)C,1.0,organocatalyst,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,630.8910000000002,7.33770000000001,630.8910000000002,7.33770000000001,,,,,cat
329,10.1039/D0GC00498G,2020.0,Royal Society of Chemistry,PuraMem Selective,PMSelective,PM,200,-1.0,0.0,1,1,,Au complex 3,Au complex 3,0.5,Tetrahydrofuran,10.0,146.5,14.65,0.728,25.0,CF,0,CC(C)c1c(N2/C(N(c3c(C(C)C)cccc3C(C)C)C=C2)=[Au]/OS(=O)(C(F)(F)F)=O)c(C(C)C)ccc1,CC(C)c1c(N2/C(N(c3c(C(C)C)cccc3C(C)C)C=C2)=[Au]/OS(=O)(C(F)(F)F)=O)c(C(C)C)ccc1,1.0,metal_catalyst,C1CCOC1,72.107,0.46,0.55,889.0,7.58,16.8,5.7,8.0,81.7,734.6350000000001,8.157290000000007,734.6350000000001,8.157290000000007,,,,,cat
330,10.1039/d4gc06334a,2025.0,Royal Society of Chemistry,PuraMem Selective,PMSelective,PM,200,-1.0,0.0,1,1,,Pd(dba)2,Pd(dba)2,0.5,2-Methyltetrahydrofuran,20.0,14.0,0.7,0.969,23.0,CF,0,[Pd].O=C(/C=C/c1ccccc1)\C=C\c2ccccc2.O=C(/C=C/c3ccccc3)\C=C\c4ccccc4,[Pd].O=C(/C=C/c1ccccc1)\C=C\c2ccccc2.O=C(/C=C/c3ccccc3)\C=C\c4ccccc4,1.0,metal_catalyst,CC1CCCO1,86.134,0.16,0.47,854.0,7.0,16.9,5.0,4.3,100.2,575.0160000000003,7.9621000000000075,575.0160000000003,7.9621000000000075,,,,,cat
331,10.1039/d4gc06334a,2025.0,Royal Society of Chemistry,PuraMem Selective,PMSelective,PM,200,-1.0,0.0,1,1,,Xantphos,Xantphos,0.5,2-Methyltetrahydrofuran,20.0,14.0,0.7,0.97,23.0,CF,0,CC1(C)c2cccc(P(c3ccccc3)c4ccccc4)c2Oc5c(P(c6ccccc6)c7ccccc7)cccc15,CC1(C)c2cccc(P(c3ccccc3)c4ccccc4)c2Oc5c(P(c6ccccc6)c7ccccc7)cccc15,1.0,ligand,CC1CCCO1,86.134,0.16,0.47,854.0,7.0,16.9,5.0,4.3,100.2,578.6320000000002,7.634600000000009,578.6320000000002,7.634600000000009,,,,,cat
332,10.1039/d4gc06334a,2025.0,Royal Society of Chemistry,PMFlux,PMFlux,PM,200,-1.0,0.0,1,1,,Pd(dba)2,Pd(dba)2,0.5,2-Methyltetrahydrofuran,20.0,138.0,6.9,0.965,23.0,CF,0,[Pd].O=C(/C=C/c1ccccc1)\C=C\c2ccccc2.O=C(/C=C/c3ccccc3)\C=C\c4ccccc4,[Pd].O=C(/C=C/c1ccccc1)\C=C\c2ccccc2.O=C(/C=C/c3ccccc3)\C=C\c4ccccc4,1.0,metal_catalyst,CC1CCCO1,86.134,0.16,0.47,854.0,7.0,16.9,5.0,4.3,100.2,575.0160000000003,7.9621000000000075,575.0160000000003,7.9621000000000075,,,,,cat
333,10.1039/d4gc06334a,2025.0,Royal Society of Chemistry,PMFlux,PMFlux,PM,200,-1.0,0.0,1,1,,Xantphos,Xantphos,0.5,2-Methyltetrahydrofuran,20.0,138.0,6.9,0.955,23.0,CF,0,CC1(C)c2cccc(P(c3ccccc3)c4ccccc4)c2Oc5c(P(c6ccccc6)c7ccccc7)cccc15,CC1(C)c2cccc(P(c3ccccc3)c4ccccc4)c2Oc5c(P(c6ccccc6)c7ccccc7)cccc15,1.0,ligand,CC1CCCO1,86.134,0.16,0.47,854.0,7.0,16.9,5.0,4.3,100.2,578.6320000000002,7.634600000000009,578.6320000000002,7.634600000000009,,,,,cat
334,10.1039/B312580G/ 10.1016/j.memsci.2006.01.025,2004.0,Royal Society of Chemistry,TFC-SR2,TFC-SR2,TFC-SR,460,57.0,-10.33333333,0,0,,Co-Jacobsen,Co-Jacobsen,0.5,Diethyl ether,5.0,0.25,0.05,0.82,20.0,CF,0,CC(C)(c1cc(C(C)(C)C)c2c(C=[N]3[C@H]4CCCC[C@@H]4[N]5=Cc6c(O[Co]5(OC(C)=O)3O2)c(C(C)(C)C)cc(C(C)(C)C)c6)c1)C,CC(C)(c1cc(C(C)(C)C)c2c(C=[N]3[C@H]4CCCC[C@@H]4[N]5=Cc6c(O[Co]5(OC(C)=O)3O2)c(C(C)(C)C)cc(C(C)(C)C)c6)c1)C,1.0,metal_catalyst,CCOCC,74.12,0.98,0.2448,713.0,4.33,14.5,2.9,5.1,104.8,662.801,9.423300000000001,662.801,9.423300000000001,,,,,cat
335,10.1039/D4CY01148A,2025.0,Royal Society of Chemistry,PMSelective,PMSelective,PM,200,-1.0,0.0,1,1,,Rh(BIPHEPHOS),Rh(BIPHEPHOS),0.5,Toluene-Octene-mix,40.0,69.6,1.74,0.99,40.0,CF,0,COc1cc(c2cc(OC)cc(C(C)(C)C)c2O[P]34Oc5c(c6c(O3)cccc6)cccc5)c(O[P]7(Oc8c(c9c(O7)cccc9)cccc8)[Rh+]4%10O[C-](C=C(C)O%10)C)c(C(C)(C)C)c1,COc1cc(c2cc(OC)cc(C(C)(C)C)c2O[P]34Oc5c(c6c(O3)cccc6)cccc5)c(O[P]7(Oc8c(c9c(O7)cccc9)cccc8)[Rh+]4%10O[C-](C=C(C)O%10)C)c(C(C)(C)C)c1,1.0,metal_catalyst,Cc1ccccc1.C(CCC=C)CCC,97.15975,3.165,0.62675,829.0,2.31,17.325,1.3,2.1,119.6,988.813,14.855389999999968,988.813,14.855389999999968,,,,,cat
336,10.1039/D4CY01148A,2025.0,Royal Society of Chemistry,PMSelective,PMSelective,PM,200,-1.0,0.0,1,1,,BIPHEPHOS,BIPHEPHOS,0.5,Toluene-Octene-mix,40.0,69.6,1.74,0.98,40.0,CF,0,COc1cc(C(C)(C)C)c(OP2Oc3ccccc3c4ccccc4O2)c(c5cc(OC)cc(C(C)(C)C)c5OP6Oc7ccccc7c8ccccc8O6)c1,COc1cc(C(C)(C)C)c(OP2Oc3ccccc3c4ccccc4O2)c(c5cc(OC)cc(C(C)(C)C)c5OP6Oc7ccccc7c8ccccc8O6)c1,1.0,ligand,Cc1ccccc1.C(CCC=C)CCC,97.15975,3.165,0.62675,829.0,2.31,17.325,1.3,2.1,119.6,786.7980000000002,14.85679999999997,786.7980000000002,14.85679999999997,,,,,cat
337,,,,,PMS600,PM,600,-1.0,0.0,1,1,,,,0.5,Ethanol,30.0,,0.27,0.234,21.0,DE,0,C1(C2=CC=CC=C23)=[N]([Ir]345([N]6=C(C7=CC=CC=C75)C=CC=C6)[N]8=C(C9=CC=CC=C94)C=CC=C8)C=CC=C1,C1(C2=CC=CC=C23)=[N]([Ir]345([N]6=C(C7=CC=CC=C75)C=CC=C6)[N]8=C(C9=CC=CC=C94)C=CC=C8)C=CC=C1,1.0,metal_catalyst,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,654.7930000000002,5.767100000000005,654.7930000000002,5.767100000000005,AD1,,94928-86-6,94928-86-6,cat
338,,,,,PMS600,PM,600,-1.0,0.0,1,1,,,,0.5,Ethanol,30.0,,0.27,0.979,21.0,DE,0,CC(C)(C)C1=CC(C2=[N]3C=CC(C(C)(C)C)=C2)=[N]([Ir+]453([N]6=C(C7=C5C=CC=C7)C=CC=C6)C8=CC=CC=C8C9=CC=CC=[N]94)C=C1,CC(C)(C)C1=CC(C2=[N]3C=CC(C(C)(C)C)=C2)=[N]([Ir+]453([N]6=C(C7=C5C=CC=C7)C=CC=C6)C8=CC=CC=C8C9=CC=CC=[N]94)C=C1,1.0,metal_catalyst,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,769.005,8.582500000000005,769.005,8.582500000000005,AD1,,676525-77-2,676525-77-2,cat
339,,,,,PMS600,PM,600,-1.0,0.0,1,1,,,,0.5,Ethanol,30.0,,0.27,0.96,21.0,DE,0,CC(C)(C)C1=CC=[N]([Ir+]23([N]4=C(C5=C3C=C(F)C=C5F)C=CC(C(F)(F)F)=C4)6C(C=C(C(F)(F)F)C=C7)=C7C8=C(F)C=C(F)C=[N]82)C(C9=[N]6C=CC(C(C)(C)C)=C9)=C1,CC(C)(C)C1=CC=[N]([Ir+]23([N]4=C(C5=C3C=C(F)C=C5F)C=CC(C(F)(F)F)=C4)6C(C=C(C(F)(F)F)C=C7)=C7C8=C(F)C=C(F)C=[N]82)C(C9=[N]6C=CC(C(C)(C)C)=C9)=C1,1.0,metal_catalyst,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,976.959,11.176499999999987,976.959,11.176499999999987,AD1,,870987-63-6,870987-63-6,cat
340,,,,,GMT-oNF-2,GMT-oNF,300,87.0,-8.0,0,0,,,,0.5,Ethanol,30.0,,0.195522762,0.365,21.0,DE,0,C1(C2=CC=CC=C23)=[N]([Ir]345([N]6=C(C7=CC=CC=C75)C=CC=C6)[N]8=C(C9=CC=CC=C94)C=CC=C8)C=CC=C1,C1(C2=CC=CC=C23)=[N]([Ir]345([N]6=C(C7=CC=CC=C75)C=CC=C6)[N]8=C(C9=CC=CC=C94)C=CC=C8)C=CC=C1,1.0,metal_catalyst,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,654.7930000000002,5.767100000000005,654.7930000000002,5.767100000000005,AD1,,94928-86-6,94928-86-6,cat
341,,,,,GMT-oNF-2,GMT-oNF,300,87.0,-8.0,0,0,,,,0.5,Ethanol,30.0,,0.195522762,1.0,21.0,DE,0,CC(C)(C)C1=CC(C2=[N]3C=CC(C(C)(C)C)=C2)=[N]([Ir+]453([N]6=C(C7=C5C=CC=C7)C=CC=C6)C8=CC=CC=C8C9=CC=CC=[N]94)C=C1,CC(C)(C)C1=CC(C2=[N]3C=CC(C(C)(C)C)=C2)=[N]([Ir+]453([N]6=C(C7=C5C=CC=C7)C=CC=C6)C8=CC=CC=C8C9=CC=CC=[N]94)C=C1,1.0,metal_catalyst,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,769.005,8.582500000000005,769.005,8.582500000000005,AD1,,676525-77-2,676525-77-2,cat
342,,,,,GMT-oNF-2,GMT-oNF,300,87.0,-8.0,0,0,,,,0.5,Ethanol,30.0,,0.195522762,1.0,21.0,DE,0,CC(C)(C)C1=CC=[N]([Ir+]23([N]4=C(C5=C3C=C(F)C=C5F)C=CC(C(F)(F)F)=C4)6C(C=C(C(F)(F)F)C=C7)=C7C8=C(F)C=C(F)C=[N]82)C(C9=[N]6C=CC(C(C)(C)C)=C9)=C1,CC(C)(C)C1=CC=[N]([Ir+]23([N]4=C(C5=C3C=C(F)C=C5F)C=CC(C(F)(F)F)=C4)6C(C=C(C(F)(F)F)C=C7)=C7C8=C(F)C=C(F)C=[N]82)C(C9=[N]6C=CC(C(C)(C)C)=C9)=C1,1.0,metal_catalyst,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,976.959,11.176499999999987,976.959,11.176499999999987,AD1,,870987-63-6,870987-63-6,cat
343,,,,,DM300,DM,300,59.0,-37.5,0,0,,,,0.5,Ethanol,30.0,,0.078074137,0.233,21.0,DE,0,C1(C2=CC=CC=C23)=[N]([Ir]345([N]6=C(C7=CC=CC=C75)C=CC=C6)[N]8=C(C9=CC=CC=C94)C=CC=C8)C=CC=C1,C1(C2=CC=CC=C23)=[N]([Ir]345([N]6=C(C7=CC=CC=C75)C=CC=C6)[N]8=C(C9=CC=CC=C94)C=CC=C8)C=CC=C1,1.0,metal_catalyst,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,654.7930000000002,5.767100000000005,654.7930000000002,5.767100000000005,AD1,,94928-86-6,94928-86-6,cat
344,,,,,DM300,DM,300,59.0,-37.5,0,0,,,,0.5,Ethanol,30.0,,0.078074137,0.307,21.0,DE,0,CC(C)(C)C1=CC(C2=[N]3C=CC(C(C)(C)C)=C2)=[N]([Ir+]453([N]6=C(C7=C5C=CC=C7)C=CC=C6)C8=CC=CC=C8C9=CC=CC=[N]94)C=C1,CC(C)(C)C1=CC(C2=[N]3C=CC(C(C)(C)C)=C2)=[N]([Ir+]453([N]6=C(C7=C5C=CC=C7)C=CC=C6)C8=CC=CC=C8C9=CC=CC=[N]94)C=C1,1.0,metal_catalyst,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,769.005,8.582500000000005,769.005,8.582500000000005,AD1,,676525-77-2,676525-77-2,cat
345,,,,,DM300,DM,300,59.0,-37.5,0,0,,,,0.5,Ethanol,30.0,,0.078074137,0.214,21.0,DE,0,CC(C)(C)C1=CC=[N]([Ir+]23([N]4=C(C5=C3C=C(F)C=C5F)C=CC(C(F)(F)F)=C4)6C(C=C(C(F)(F)F)C=C7)=C7C8=C(F)C=C(F)C=[N]82)C(C9=[N]6C=CC(C(C)(C)C)=C9)=C1,CC(C)(C)C1=CC=[N]([Ir+]23([N]4=C(C5=C3C=C(F)C=C5F)C=CC(C(F)(F)F)=C4)6C(C=C(C(F)(F)F)C=C7)=C7C8=C(F)C=C(F)C=[N]82)C(C9=[N]6C=CC(C(C)(C)C)=C9)=C1,1.0,metal_catalyst,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,976.959,11.176499999999987,976.959,11.176499999999987,AD1,,870987-63-6,870987-63-6,cat
346,,,,,SS336,SS,500,82.0,0.0,0,1,,,,0.5,Ethanol,30.0,,0.320534523,0.182,21.0,DE,0,C1(C2=CC=CC=C23)=[N]([Ir]345([N]6=C(C7=CC=CC=C75)C=CC=C6)[N]8=C(C9=CC=CC=C94)C=CC=C8)C=CC=C1,C1(C2=CC=CC=C23)=[N]([Ir]345([N]6=C(C7=CC=CC=C75)C=CC=C6)[N]8=C(C9=CC=CC=C94)C=CC=C8)C=CC=C1,1.0,metal_catalyst,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,654.7930000000002,5.767100000000005,654.7930000000002,5.767100000000005,AD1,,94928-86-6,94928-86-6,cat
347,,,,,SS336,SS,500,82.0,0.0,0,1,,,,0.5,Ethanol,30.0,,0.320534523,0.328,21.0,DE,0,CC(C)(C)C1=CC(C2=[N]3C=CC(C(C)(C)C)=C2)=[N]([Ir+]453([N]6=C(C7=C5C=CC=C7)C=CC=C6)C8=CC=CC=C8C9=CC=CC=[N]94)C=C1,CC(C)(C)C1=CC(C2=[N]3C=CC(C(C)(C)C)=C2)=[N]([Ir+]453([N]6=C(C7=C5C=CC=C7)C=CC=C6)C8=CC=CC=C8C9=CC=CC=[N]94)C=C1,1.0,metal_catalyst,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,769.005,8.582500000000005,769.005,8.582500000000005,AD1,,676525-77-2,676525-77-2,cat
348,,,,,SS336,SS,500,82.0,0.0,0,1,,,,0.5,Ethanol,30.0,,0.320534523,0.287,21.0,DE,0,CC(C)(C)C1=CC=[N]([Ir+]23([N]4=C(C5=C3C=C(F)C=C5F)C=CC(C(F)(F)F)=C4)6C(C=C(C(F)(F)F)C=C7)=C7C8=C(F)C=C(F)C=[N]82)C(C9=[N]6C=CC(C(C)(C)C)=C9)=C1,CC(C)(C)C1=CC=[N]([Ir+]23([N]4=C(C5=C3C=C(F)C=C5F)C=CC(C(F)(F)F)=C4)6C(C=C(C(F)(F)F)C=C7)=C7C8=C(F)C=C(F)C=[N]82)C(C9=[N]6C=CC(C(C)(C)C)=C9)=C1,1.0,metal_catalyst,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,976.959,11.176499999999987,976.959,11.176499999999987,AD1,,870987-63-6,870987-63-6,cat
