id,solute_name,solute_identifier,solute_category,solute_type,solute_reactions,solute_reaction_typical_solvents,references,full_solute_smiles,stripped_solute_smiles,compatible_smiles_pmi_synth,cleaned_solute_smiles_tox,stripped_aromatic_solute_smiles,full_aromatic_solute_smiles,full_original_solute_smiles,usd_per_g,usd_per_mol
29,BIPHEPHOS,BIPHEPHOS,ligand,Phosphine ligand,hydroformylation,"toluene, neat",N/A,COc1cc(C(C)(C)C)c(OP2Oc3ccccc3c4ccccc4O2)c(c5cc(OC)cc(C(C)(C)C)c5OP6Oc7ccccc7c8ccccc8O6)c1,COc1cc(C(C)(C)C)c(OP2Oc3ccccc3c4ccccc4O2)c(c5cc(OC)cc(C(C)(C)C)c5OP6Oc7ccccc7c8ccccc8O6)c1,COc1cc(C(C)(C)C)c(OP2Oc3ccccc3c4ccccc4O2)c(c5cc(OC)cc(C(C)(C)C)c5OP6Oc7ccccc7c8ccccc8O6)c1,COc1cc(C(C)(C)C)c(OP2Oc3ccccc3c4ccccc4O2)c(c5cc(OC)cc(C(C)(C)C)c5OP6Oc7ccccc7c8ccccc8O6)c1,COc1cc(C(C)(C)C)c(OP2Oc3ccccc3c4ccccc4O2)c(c5cc(OC)cc(C(C)(C)C)c5OP6Oc7ccccc7c8ccccc8O6)c1,COc1cc(C(C)(C)C)c(OP2Oc3ccccc3c4ccccc4O2)c(c5cc(OC)cc(C(C)(C)C)c5OP6Oc7ccccc7c8ccccc8O6)c1,O(C1=C(C=C(OC)C=C1C(C)(C)C)C2=C(OP3OC=4C(C=5C(O3)=CC=CC5)=CC=CC4)C(C(C)(C)C)=CC(OC)=C2)P6OC=7C(C=8C(O6)=CC=CC8)=CC=CC7,794.1176471,624795.8824
30,phosphotungstic acid  ,phosphotungstic acid  ,metal_catalyst,"Inorganic acid catalyst, Polyoxometalate","hydration, deoxygenation, esterification, Beckmann rearrangement","dichloroethane, water, toluene, neat, dimethylformamide",https://onlinelibrary.wiley.com/doi/10.1002/047084289X.rn01615,O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.OP(O)(O)=O,O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.OP(O)(O)=O,O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.OP(O)(O)=O,O=[W](=O)=O,O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.OP(O)(O)=O,O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.OP(O)(O)=O,O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.O=[W](=O)=O.OP(O)(O)=O,4.235294118,12197.85882
31,Pd(DPPB),Pd(DPPB),metal_catalyst,Transition metal complex,cross coupling,"toluene, dichloromethane, acetonitrile, tetrahydrofuran",N/A,O=C(O[Pd]1([P](CCCC[P]1(c2ccccc2)c3ccccc3)(c4ccccc4)c5ccccc5)OC(C(F)(F)F)=O)C(F)(F)F,O=C(O[Pd]1([P](CCCC[P]1(c2ccccc2)c3ccccc3)(c4ccccc4)c5ccccc5)OC(C(F)(F)F)=O)C(F)(F)F,O=C(O[Pd]1([P](CCCC[P]1(c2ccccc2)c3ccccc3)(c4ccccc4)c5ccccc5)OC(C(F)(F)F)=O)C(F)(F)F,O=C(O[Pd]1([P](CCCC[P]1(c2ccccc2)c3ccccc3)(c4ccccc4)c5ccccc5)OC(C(F)(F)F)=O)C(F)(F)F,O=C(O[Pd]1([P](CCCC[P]1(c2ccccc2)c3ccccc3)(c4ccccc4)c5ccccc5)OC(C(F)(F)F)=O)C(F)(F)F,O=C(O[Pd]1([P](CCCC[P]1(c2ccccc2)c3ccccc3)(c4ccccc4)c5ccccc5)OC(C(F)(F)F)=O)C(F)(F)F,O=C(C(F)(F)F)O[Pd]1(OC(C(F)(F)F)=O)[P](C2=CC=CC=C2)(CCCC[P]1(C3=CC=CC=C3)C4=CC=CC=C4)C5=CC=CC=C5,,
32,"Diacetato(1,3-bis(diphenylphosphino)propane)palladium","Diacetato(1,3-bis(diphenylphosphino)propane)palladium",metal_catalyst,Transition metal complex,cross coupling,"toluene, dichloromethane, acetonitrile, tetrahydrofuran",N/A,O=C(C)O[Pd]1([P](c2ccccc2)(c3ccccc3)CCC[P](c4ccccc4)1c5ccccc5)OC(C)=O,O=C(C)O[Pd]1([P](c2ccccc2)(c3ccccc3)CCC[P](c4ccccc4)1c5ccccc5)OC(C)=O,O=C(C)O[Pd]1([P](c2ccccc2)(c3ccccc3)CCC[P](c4ccccc4)1c5ccccc5)OC(C)=O,O=C(C)O[Pd]1([P](c2ccccc2)(c3ccccc3)CCC[P](c4ccccc4)1c5ccccc5)OC(C)=O,O=C(C)O[Pd]1([P](c2ccccc2)(c3ccccc3)CCC[P](c4ccccc4)1c5ccccc5)OC(C)=O,O=C(C)O[Pd]1([P](c2ccccc2)(c3ccccc3)CCC[P](c4ccccc4)1c5ccccc5)OC(C)=O,O=C(C)O[Pd]1([P](c2ccccc2)(c3ccccc3)CCC[P](c4ccccc4)1c5ccccc5)OC(C)=O,,
33,Pd[II](dppBz),Pd[II](dppBz),metal_catalyst,Transition metal complex,cross coupling,"toluene, dichloromethane, acetonitrile, tetrahydrofuran",N/A,O=C(O[Pd]([P]1(c2ccccc2)c3ccccc3)(OC(C)=O)[P](c4ccccc4)(C5=C1C=CC=C5)c6ccccc6)C,O=C(O[Pd]([P]1(c2ccccc2)c3ccccc3)(OC(C)=O)[P](c4ccccc4)(C5=C1C=CC=C5)c6ccccc6)C,O=C(O[Pd]([P]1(c2ccccc2)c3ccccc3)(OC(C)=O)[P](c4ccccc4)(C5=C1C=CC=C5)c6ccccc6)C,O=C(O[Pd]([P]1(c2ccccc2)c3ccccc3)(OC(C)=O)[P](c4ccccc4)(C5=C1C=CC=C5)c6ccccc6)C,O=C(O[Pd]([P]1(c2ccccc2)c3ccccc3)(OC(C)=O)[P](c4ccccc4)(C5=C1C=CC=C5)c6ccccc6)C,O=C(O[Pd]([P]1(c2ccccc2)c3ccccc3)(OC(C)=O)[P](c4ccccc4)(C5=C1C=CC=C5)c6ccccc6)C,O=C(O[Pd]([P]1(c2ccccc2)c3ccccc3)(OC(C)=O)[P](c4ccccc4)(C5=C1C=CC=C5)c6ccccc6)C,,
34,Modified Biphephos ,Modified Biphephos ,ligand,Phosphine ligand,hydroformylation,"toluene, neat",N/A,O=C(/C=C/c1cc(c2cc(/C=C/C(OC)=O)cc(C(C)(C)C)c2OP3Oc4c(c5c(O3)cccc5)cccc4)c(OP6Oc7c(c8c(O6)cccc8)cccc7)c(C(C)(C)C)c1)OC,O=C(/C=C/c1cc(c2cc(/C=C/C(OC)=O)cc(C(C)(C)C)c2OP3Oc4c(c5c(O3)cccc5)cccc4)c(OP6Oc7c(c8c(O6)cccc8)cccc7)c(C(C)(C)C)c1)OC,O=C(/C=C/c1cc(c2cc(/C=C/C(OC)=O)cc(C(C)(C)C)c2OP3Oc4c(c5c(O3)cccc5)cccc4)c(OP6Oc7c(c8c(O6)cccc8)cccc7)c(C(C)(C)C)c1)OC,O=C(/C=C/c1cc(c2cc(/C=C/C(OC)=O)cc(C(C)(C)C)c2OP3Oc4c(c5c(O3)cccc5)cccc4)c(OP6Oc7c(c8c(O6)cccc8)cccc7)c(C(C)(C)C)c1)OC,O=C(/C=C/c1cc(c2cc(/C=C/C(OC)=O)cc(C(C)(C)C)c2OP3Oc4c(c5c(O3)cccc5)cccc4)c(OP6Oc7c(c8c(O6)cccc8)cccc7)c(C(C)(C)C)c1)OC,O=C(/C=C/c1cc(c2cc(/C=C/C(OC)=O)cc(C(C)(C)C)c2OP3Oc4c(c5c(O3)cccc5)cccc4)c(OP6Oc7c(c8c(O6)cccc8)cccc7)c(C(C)(C)C)c1)OC,O=C(OC)/C=C/C(C=C1C(C)(C)C)=CC(C2=C(C(C(C)(C)C)=CC(/C=C/C(OC)=O)=C2)OP3OC4=CC=CC=C4C5=CC=CC=C5O3)=C1OP6OC7=CC=CC=C7C8=CC=CC=C8O6,,
35,HRh(CO)(PPh3)3,HRh(CO)(PPh3)3,metal_catalyst,Transition metal complex,hydroformylation,"toluene, neat",N/A,O=C[Rh]([P](c1ccccc1)(c2ccccc2)c3ccccc3)([H])([P](c4ccccc4)(c5ccccc5)c6ccccc6)[P](c7ccccc7)(c8ccccc8)c9ccccc9,O=C[Rh]([P](c1ccccc1)(c2ccccc2)c3ccccc3)([H])([P](c4ccccc4)(c5ccccc5)c6ccccc6)[P](c7ccccc7)(c8ccccc8)c9ccccc9,O=C[Rh]([P](c1ccccc1)(c2ccccc2)c3ccccc3)([H])([P](c4ccccc4)(c5ccccc5)c6ccccc6)[P](c7ccccc7)(c8ccccc8)c9ccccc9,O=C[Rh]([P](c1ccccc1)(c2ccccc2)c3ccccc3)([H])([P](c4ccccc4)(c5ccccc5)c6ccccc6)[P](c7ccccc7)(c8ccccc8)c9ccccc9,O=C[Rh]([P](c1ccccc1)(c2ccccc2)c3ccccc3)([H])([P](c4ccccc4)(c5ccccc5)c6ccccc6)[P](c7ccccc7)(c8ccccc8)c9ccccc9,O=C[Rh]([P](c1ccccc1)(c2ccccc2)c3ccccc3)([H])([P](c4ccccc4)(c5ccccc5)c6ccccc6)[P](c7ccccc7)(c8ccccc8)c9ccccc9,O=C[Rh]([P](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3)([P](C4=CC=CC=C4)(C5=CC=CC=C5)C6=CC=CC=C6)([H])[P](C7=CC=CC=C7)(C8=CC=CC=C8)C9=CC=CC=C9,162.3529412,154624.9412
36,Xantphos,Xantphos,ligand,Phosphine ligand,cross coupling,"toluene, dichloromethane, acetonitrile, tetrahydrofuran",N/A,CC1(C)c2cccc(P(c3ccccc3)c4ccccc4)c2Oc5c(P(c6ccccc6)c7ccccc7)cccc15,CC1(C)c2cccc(P(c3ccccc3)c4ccccc4)c2Oc5c(P(c6ccccc6)c7ccccc7)cccc15,CC1(C)c2cccc(P(c3ccccc3)c4ccccc4)c2Oc5c(P(c6ccccc6)c7ccccc7)cccc15,CC1(C)c2cccc(P(c3ccccc3)c4ccccc4)c2Oc5c(P(c6ccccc6)c7ccccc7)cccc15,CC1(C)c2cccc(P(c3ccccc3)c4ccccc4)c2Oc5c(P(c6ccccc6)c7ccccc7)cccc15,CC1(C)c2cccc(P(c3ccccc3)c4ccccc4)c2Oc5c(P(c6ccccc6)c7ccccc7)cccc15,P(C1=C2C(C(C)(C)C=3C(O2)=C(P(C4=CC=CC=C4)C5=CC=CC=C5)C=CC3)=CC=C1)(C6=CC=CC=C6)C7=CC=CC=C7,84.82352941,49080.59059
37,Ir(ppy)3,94928-86-6,metal_catalyst,Photoredox catalyst,visible light mediated free radical reactions,"toluene, dimethylformamide, dimethylacetamide, dimethyl sulfoxide, tetrahydrofuran, alcohols",N/A,C1(C2=CC=CC=C23)=[N]([Ir]345([N]6=C(C7=CC=CC=C75)C=CC=C6)[N]8=C(C9=CC=CC=C94)C=CC=C8)C=CC=C1,C1(C2=CC=CC=C23)=[N]([Ir]345([N]6=C(C7=CC=CC=C75)C=CC=C6)[N]8=C(C9=CC=CC=C94)C=CC=C8)C=CC=C1,C1(C2=CC=CC=C2[Ir](C3=CC=CC=C3C4=NC=CC=C4)C5=CC=CC=C5C6=NC=CC=C6)=NC=CC=C1,C1(C2=CC=CC=C23)=[N]([Ir]345([N]6=C(C7=CC=CC=C75)C=CC=C6)[N]8=C(C9=CC=CC=C94)C=CC=C8)C=CC=C1,C1(C2=CC=CC=C23)=[N]([Ir]345([N]6=C(C7=CC=CC=C75)C=CC=C6)[N]8=C(C9=CC=CC=C94)C=CC=C8)C=CC=C1,C1(C2=CC=CC=C23)=[N]([Ir]345([N]6=C(C7=CC=CC=C75)C=CC=C6)[N]8=C(C9=CC=CC=C94)C=CC=C8)C=CC=C1,C1(C2=CC=CC=C23)=[N]([Ir]345([N]6=C(C7=CC=CC=C75)C=CC=C6)[N]8=C(C9=CC=CC=C94)C=CC=C8)C=CC=C1,2296.470588,1503683.012
38,Ir(dtbbpy)(ppy)2[PF6],676525-77-2,metal_catalyst,Photoredox catalyst,visible light mediated free radical reactions,"toluene, dimethylformamide, dimethylacetamide, dimethyl sulfoxide, tetrahydrofuran, alcohols",N/A,CC(C)(C)C1=CC(C2=[N]3C=CC(C(C)(C)C)=C2)=[N]([Ir+]453([N]6=C(C7=C5C=CC=C7)C=CC=C6)C8=CC=CC=C8C9=CC=CC=[N]94)C=C1.F[P-](F)(F)(F)(F)F,CC(C)(C)C1=CC(C2=[N]3C=CC(C(C)(C)C)=C2)=[N]([Ir+]453([N]6=C(C7=C5C=CC=C7)C=CC=C6)C8=CC=CC=C8C9=CC=CC=[N]94)C=C1,CC(C)(C1=CC(C2=NC=CC(C(C)(C)C)=C2)=NC=C1)C.C3(C4=C(C=CC=C4)[Ir+]C5=CC=CC=C5C6=CC=CC=N6)=NC=CC=C3,CC(C)(C)C1=CC(C2=[N]3C=CC(C(C)(C)C)=C2)=[N]([Ir+]453([N]6=C(C7=C5C=CC=C7)C=CC=C6)C8=CC=CC=C8C9=CC=CC=[N]94)C=C1,CC(C)(C)C1=CC(C2=[N]3C=CC(C(C)(C)C)=C2)=[N]([Ir+]453([N]6=C(C7=C5C=CC=C7)C=CC=C6)C8=CC=CC=C8C9=CC=CC=[N]94)C=C1,CC(C)(C)C1=CC(C2=[N]3C=CC(C(C)(C)C)=C2)=[N]([Ir+]453([N]6=C(C7=C5C=CC=C7)C=CC=C6)C8=CC=CC=C8C9=CC=CC=[N]94)C=C1.F[P-](F)(F)(F)(F)F,CC(C)(C)C1=CC(C2=[N]3C=CC(C(C)(C)C)=C2)=[N]([Ir+]453([N]6=C(C7=C5C=CC=C7)C=CC=C6)C8=CC=CC=C8C9=CC=CC=[N]94)C=C1.F[P-](F)(F)(F)(F)F,2588.235294,2365517.647
39,(Ir[dF(CF3)ppy]2(dtbpy))PF6,870987-63-6,metal_catalyst,Photoredox catalyst,visible light mediated free radical reactions,"toluene, dimethylformamide, dimethylacetamide, dimethyl sulfoxide, tetrahydrofuran, alcohols",N/A,CC(C)(C)C1=CC=[N]([Ir+]23([N]4=C(C5=C3C=C(F)C=C5F)C=CC(C(F)(F)F)=C4)6C(C=C(C(F)(F)F)C=C7)=C7C8=C(F)C=C(F)C=[N]82)C(C9=[N]6C=CC(C(C)(C)C)=C9)=C1.F[P-](F)(F)(F)(F)F,CC(C)(C)C1=CC=[N]([Ir+]23([N]4=C(C5=C3C=C(F)C=C5F)C=CC(C(F)(F)F)=C4)6C(C=C(C(F)(F)F)C=C7)=C7C8=C(F)C=C(F)C=[N]82)C(C9=[N]6C=CC(C(C)(C)C)=C9)=C1,FC(C=C1F)=CC([Ir+]C2=C(C3=C(C=C(C=N3)F)F)C=CC(C(F)(F)F)=C2)=C1C4=NC=C(C(F)(F)F)C=C4.CC(C)(C5=CC=NC(C6=NC=CC(C(C)(C)C)=C6)=C5)C,CC(C)(C)C1=CC=[N]([Ir+]23([N]4=C(C5=C3C=C(F)C=C5F)C=CC(C(F)(F)F)=C4)6C(C=C(C(F)(F)F)C=C7)=C7C8=C(F)C=C(F)C=[N]82)C(C9=[N]6C=CC(C(C)(C)C)=C9)=C1,CC(C)(C)C1=CC=[N]([Ir+]23([N]4=C(C5=C3C=C(F)C=C5F)C=CC(C(F)(F)F)=C4)6C(C=C(C(F)(F)F)C=C7)=C7C8=C(F)C=C(F)C=[N]82)C(C9=[N]6C=CC(C(C)(C)C)=C9)=C1,CC(C)(C)C1=CC=[N]([Ir+]23([N]4=C(C5=C3C=C(F)C=C5F)C=CC(C(F)(F)F)=C4)6C(C=C(C(F)(F)F)C=C7)=C7C8=C(F)C=C(F)C=[N]82)C(C9=[N]6C=CC(C(C)(C)C)=C9)=C1.F[P-](F)(F)(F)(F)F,CC(C)(C)C1=CC=[N]([Ir+]23([N]4=C(C5=C3C=C(F)C=C5F)C=CC(C(F)(F)F)=C4)6C(C=C(C(F)(F)F)C=C7)=C7C8=C(F)C=C(F)C=[N]82)C(C9=[N]6C=CC(C(C)(C)C)=C9)=C1.F[P-](F)(F)(F)(F)F,1988.235294,2230621.059
40,Ir(p-CF3-ppy)3,500295-52-3,metal_catalyst,Photoredox catalyst,visible light mediated free radical reactions,"toluene, dimethylformamide, dimethylacetamide, dimethyl sulfoxide, tetrahydrofuran, alcohols",N/A,FC(C(C=C1)=C[N]2=C1C3=CC=CC=[N]3[Ir+]245([N]6=CC=CC=C6C7=C5C=C(C(F)(F)F)C=C7)[N]8=C(C9=C4C=C(C(F)(F)F)C=C9)C=CC=C8)(F)F.F[P-](F)(F)(F)(F)F,FC(C(C=C1)=C[N]2=C1C3=CC=CC=[N]3[Ir+]245([N]6=CC=CC=C6C7=C5C=C(C(F)(F)F)C=C7)[N]8=C(C9=C4C=C(C(F)(F)F)C=C9)C=CC=C8)(F)F,FC(F)(F)C(C=C1)=CC([Ir+]C(C=C(C=C2)C(F)(F)F)=C2C3=NC=CC=C3)=C1C4=CC=CC=N4.FC(F)(F)C5=CN=C(C6=CC=CC=N6)C=C5,FC(C(C=C1)=C[N]2=C1C3=CC=CC=[N]3[Ir+]245([N]6=CC=CC=C6C7=C5C=C(C(F)(F)F)C=C7)[N]8=C(C9=C4C=C(C(F)(F)F)C=C9)C=CC=C8)(F)F,FC(C(C=C1)=C[N]2=C1C3=CC=CC=[N]3[Ir+]245([N]6=CC=CC=C6C7=C5C=C(C(F)(F)F)C=C7)[N]8=C(C9=C4C=C(C(F)(F)F)C=C9)C=CC=C8)(F)F,FC(C(C=C1)=C[N]2=C1C3=CC=CC=[N]3[Ir+]245([N]6=CC=CC=C6C7=C5C=C(C(F)(F)F)C=C7)[N]8=C(C9=C4C=C(C(F)(F)F)C=C9)C=CC=C8)(F)F.F[P-](F)(F)(F)(F)F,FC(C(C=C1)=C[N]2=C1C3=CC=CC=[N]3[Ir+]245([N]6=CC=CC=C6C7=C5C=C(C(F)(F)F)C=C7)[N]8=C(C9=C4C=C(C(F)(F)F)C=C9)C=CC=C8)(F)F.F[P-](F)(F)(F)(F)F,2105.882353,1808468.588
41,Ir(dFFppy)2(dtbbpy)PF6,2042201-18-1,metal_catalyst,Photoredox catalyst,visible light mediated free radical reactions,"toluene, dimethylformamide, dimethylacetamide, dimethyl sulfoxide, tetrahydrofuran, alcohols",N/A,Fc1cc2c(c3c([Ir+]245(n6cccc(F)c6c7cc(C(C)(C)C)ccn75)n8c(c9c(F)cccn94)cc(C(C)(C)C)cc8)cc(F)cc3F)c(F)c1.F[P-](F)(F)(F)(F)F,Fc1cc2c(c3c([Ir+]245(n6cccc(F)c6c7cc(C(C)(C)C)ccn75)n8c(c9c(F)cccn94)cc(C(C)(C)C)cc8)cc(F)cc3F)c(F)c1,Fc1cc2c(c3c([Ir+]245(n6cccc(F)c6c7cc(C(C)(C)C)ccn75)n8c(c9c(F)cccn94)cc(C(C)(C)C)cc8)cc(F)cc3F)c(F)c1,Fc1cc2c(c3c([Ir+]245(n6cccc(F)c6c7cc(C(C)(C)C)ccn75)n8c(c9c(F)cccn94)cc(C(C)(C)C)cc8)cc(F)cc3F)c(F)c1,Fc1cc2c(c3c([Ir+]245(n6cccc(F)c6c7cc(C(C)(C)C)ccn75)n8c(c9c(F)cccn94)cc(C(C)(C)C)cc8)cc(F)cc3F)c(F)c1,Fc1cc2c(c3c([Ir+]245(n6cccc(F)c6c7cc(C(C)(C)C)ccn75)n8c(c9c(F)cccn94)cc(C(C)(C)C)cc8)cc(F)cc3F)c(F)c1.F[P-](F)(F)(F)(F)F,FC(C=C1F)=CC2=C1C3=C(F)C=C(F)C=C3[Ir+]245([N]6=CC=C(C(C)(C)C)C=C6C7=[N]5C=CC=C7F)[N]8=C(C9=[N]4C=CC(C(C)(C)C)=C9)C(F)=CC=C8.F[P-](F)(F)(F)(F)F,1435.294118,1466727.059
42,"[2,2'-Bis (4-tert-butylpyridine)] bis [2- (4-fluorophenyl) pyridine] iridium (III) hexafluorophosphate",1449110-90-0,metal_catalyst,Photoredox catalyst,visible light mediated free radical reactions,"toluene, dimethylformamide, dimethylacetamide, dimethyl sulfoxide, tetrahydrofuran, alcohols",N/A,FC1=CC=C(C2=[N]([Ir+]345([N]6=CC=C(C(C)(C)C)C=C6C7=[N]5C=CC(C(C)(C)C)=C7)C8=C(C9=[N]4C=CC=C9)C=CC(F)=C8)C=CC=C2)C3=C1.F[P-](F)(F)(F)(F)F,FC1=CC=C(C2=[N]([Ir+]345([N]6=CC=C(C(C)(C)C)C=C6C7=[N]5C=CC(C(C)(C)C)=C7)C8=C(C9=[N]4C=CC=C9)C=CC(F)=C8)C=CC=C2)C3=C1,FC1=CC=C(C([Ir+]C2=C(C=CC(F)=C2)C3=NC=CC=C3)=C1)C4=NC=CC=C4.CC(C)(C)C5=CC=NC(C6=NC=CC(C(C)(C)C)=C6)=C5,FC1=CC=C(C2=[N]([Ir+]345([N]6=CC=C(C(C)(C)C)C=C6C7=[N]5C=CC(C(C)(C)C)=C7)C8=C(C9=[N]4C=CC=C9)C=CC(F)=C8)C=CC=C2)C3=C1,FC1=CC=C(C2=[N]([Ir+]345([N]6=CC=C(C(C)(C)C)C=C6C7=[N]5C=CC(C(C)(C)C)=C7)C8=C(C9=[N]4C=CC=C9)C=CC(F)=C8)C=CC=C2)C3=C1,FC1=CC=C(C2=[N]([Ir+]345([N]6=CC=C(C(C)(C)C)C=C6C7=[N]5C=CC(C(C)(C)C)=C7)C8=C(C9=[N]4C=CC=C9)C=CC(F)=C8)C=CC=C2)C3=C1.F[P-](F)(F)(F)(F)F,FC1=CC=C(C2=[N]([Ir+]345([N]6=CC=C(C(C)(C)C)C=C6C7=[N]5C=CC(C(C)(C)C)=C7)C8=C(C9=[N]4C=CC=C9)C=CC(F)=C8)C=CC=C2)C3=C1.F[P-](F)(F)(F)(F)F,,
43,"(2,2'-bipyridyl) bis [2- (4-tert-butylphenyl) pyridine] iridium (III) hexafluorophosphate",1352428-78-4,metal_catalyst,Photoredox catalyst,visible light mediated free radical reactions,"toluene, dimethylformamide, dimethylacetamide, dimethyl sulfoxide, tetrahydrofuran, alcohols",N/A,CC(C1=CC=C(C2=[N]([Ir+]345([N]6=CC=CC=C6C7=[N]5C=CC=C7)C8=C(C9=[N]4C=CC=C9)C=CC(C(C)(C)C)=C8)C=CC=C2)C3=C1)(C)C.F[P-](F)(F)(F)(F)F,CC(C1=CC=C(C2=[N]([Ir+]345([N]6=CC=CC=C6C7=[N]5C=CC=C7)C8=C(C9=[N]4C=CC=C9)C=CC(C(C)(C)C)=C8)C=CC=C2)C3=C1)(C)C,CC(C)(C)C1=CC=C(C([Ir+]C2=C(C=CC(C(C)(C)C)=C2)C3=NC=CC=C3)=C1)C4=NC=CC=C4.C5(C6=NC=CC=C6)=CC=CC=N5,CC(C1=CC=C(C2=[N]([Ir+]345([N]6=CC=CC=C6C7=[N]5C=CC=C7)C8=C(C9=[N]4C=CC=C9)C=CC(C(C)(C)C)=C8)C=CC=C2)C3=C1)(C)C,CC(C1=CC=C(C2=[N]([Ir+]345([N]6=CC=CC=C6C7=[N]5C=CC=C7)C8=C(C9=[N]4C=CC=C9)C=CC(C(C)(C)C)=C8)C=CC=C2)C3=C1)(C)C,CC(C1=CC=C(C2=[N]([Ir+]345([N]6=CC=CC=C6C7=[N]5C=CC=C7)C8=C(C9=[N]4C=CC=C9)C=CC(C(C)(C)C)=C8)C=CC=C2)C3=C1)(C)C.F[P-](F)(F)(F)(F)F,CC(C1=CC=C(C2=[N]([Ir+]345([N]6=CC=CC=C6C7=[N]5C=CC=C7)C8=C(C9=[N]4C=CC=C9)C=CC(C(C)(C)C)=C8)C=CC=C2)C3=C1)(C)C.F[P-](F)(F)(F)(F)F,,
44,Ru(bpy)3Cl2,14323-06-9,metal_catalyst,Photoredox catalyst,visible light mediated free radical reactions,"toluene, dimethylformamide, dimethylacetamide, dimethyl sulfoxide, tetrahydrofuran, alcohols",N/A,n12ccccc1c3ccccn3[Ru+2]245(n6c(c7n5cccc7)cccc6)n8c(c9ccccn94)cccc8.[Cl-].[Cl-],n12ccccc1c3ccccn3[Ru+2]245(n6c(c7n5cccc7)cccc6)n8c(c9ccccn94)cccc8,n12ccccc1c3ccccn3[Ru+2]245(n6c(c7n5cccc7)cccc6)n8c(c9ccccn94)cccc8,n12ccccc1c3ccccn3[Ru+2]245(n6c(c7n5cccc7)cccc6)n8c(c9ccccn94)cccc8,n12ccccc1c3ccccn3[Ru+2]245(n6c(c7n5cccc7)cccc6)n8c(c9ccccn94)cccc8,n12ccccc1c3ccccn3[Ru+2]245(n6c(c7n5cccc7)cccc6)n8c(c9ccccn94)cccc8.[Cl-].[Cl-],[N]1([Ru+2]234([N]5=CC=CC=C5C6=[N]4C=CC=C6)[N](C=CC=C7)=C7C8=CC=CC=[N]83)=C(C9=[N]2C=CC=C9)C=CC=C1.[Cl-].[Cl-],236.7058824,177202.7576
45,Ru(bpy)3[PF6]2,60804-74-2,metal_catalyst,Photoredox catalyst,visible light mediated free radical reactions,"toluene, dimethylformamide, dimethylacetamide, dimethyl sulfoxide, tetrahydrofuran, alcohols",N/A,n12ccccc1c3ccccn3[Ru+2]245(n6c(c7n5cccc7)cccc6)n8c(c9ccccn94)cccc8.[P-](F)(F)(F)(F)(F)(F).[P-](F)(F)(F)(F)(F)(F),n12ccccc1c3ccccn3[Ru+2]245(n6c(c7n5cccc7)cccc6)n8c(c9ccccn94)cccc8,n12ccccc1c3ccccn3[Ru+2]245(n6c(c7n5cccc7)cccc6)n8c(c9ccccn94)cccc8,n12ccccc1c3ccccn3[Ru+2]245(n6c(c7n5cccc7)cccc6)n8c(c9ccccn94)cccc8,n12ccccc1c3ccccn3[Ru+2]245(n6c(c7n5cccc7)cccc6)n8c(c9ccccn94)cccc8,n12ccccc1c3ccccn3[Ru+2]245(n6c(c7n5cccc7)cccc6)n8c(c9ccccn94)cccc8.[P-](F)(F)(F)(F)(F)(F).[P-](F)(F)(F)(F)(F)(F),[N]1([Ru+2]234([N]5=CC=CC=C5C6=[N]4C=CC=C6)[N](C=CC=C7)=C7C8=CC=CC=[N]83)=C(C9=[N]2C=CC=C9)C=CC=C1.[P-](F)(F)(F)(F)(F)(F).[P-](F)(F)(F)(F)(F)(F),280,240674
