,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,solute_category,membrane,solvent,solute_smiles,pressure,temperature,process_configuration,permeance,substructure_smarts,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42a_fold3,rejection_mcmpnn_combi_v42a_fold1,rejection_mcmpnn_combi_v42a_fold2,rejection_mcmpnn_combi_v42a_fold4,rejection_mcmpnn_combi_v42a_fold0,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper,rejection_mcmpnn_combi_v42d_fold3,rejection_mcmpnn_combi_v42d_fold2,rejection_mcmpnn_combi_v42d_fold4,rejection_mcmpnn_combi_v42d_fold0,rejection_mcmpnn_combi_v42d_fold1,rejection_mcmpnn_combi_v42c_fold0,rejection_mcmpnn_combi_v42c_fold4,rejection_mcmpnn_combi_v42c_fold2,rejection_mcmpnn_combi_v42c_fold1,rejection_mcmpnn_combi_v42c_fold3,mean_sub_rejection_contribution
35,35,35,35,35,35,35,35,metal_catalyst,GMT-oNF-2,Acetonitrile,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,30,25,CF,0.153,c1(N2CCN(c3ccccc3)C2)ccccc1,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,626.634,8.050320000000008,0,0,0,0,0,0,1,0,1,0,0.9232594,0.9305218,0.9573647,0.90336406,0.9654949,0.936000972,0.9044431729645364,0.9675587710354634,,,,,,,,,,,0.45876025984555613
36,36,36,36,36,36,36,36,metal_catalyst,GMT-oNF-2,Acetonitrile,Cc1cc(C)c(N2CCN(C2=[Ru](Cl)(Cl)([P](C3CCCCC3)(C4CCCCC4)C5CCCCC5)=C6C=C(C7=CC=CC=C76)c8ccccc8)c9c(C)cc(C)cc9C)c(C)c1,30,25,CF,0.153,c1(N2CCN(c3ccccc3)C2)ccccc1,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,949.1099999999996,15.545019999999964,0,0,0,0,0,0,1,0,1,0,0.932639,0.95775515,0.996889,0.94614744,0.98970497,0.964627112,0.9301628839189098,0.99909134008109,,,,,,,,,,,0.2705682300031185
37,37,37,37,37,37,37,37,metal_catalyst,GMT-oNF-2,Acetonitrile,CC(Oc1c(C=[Ru](Cl)(Cl)=C2N(c3c(C)cc(C)cc3C)C(CC(CCCC)CC)CN2c4c(C)cc(C)cc4C)cccc1)C,30,25,CF,0.153,c1(N2CCN(c3ccccc3)C2)ccccc1,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,738.8500000000001,11.02541999999999,0,0,0,0,0,0,1,0,1,0,0.925142,0.9401512,0.9686521,0.92208785,0.97908294,0.947023218,0.915103641902594,0.978942794097406,,,,,,,,,,,0.3791227773312599
38,38,38,38,38,38,38,38,metal_catalyst,GMT-oNF-2,Acetonitrile,CC1=CC(C2=CC=C(C)C=C2[Ir+3]345([N](C=C6)=C(C7=[N]5C=CC(C(C)(C)C)=C7)C=C6C(C)(C)C)[N](C=C8)=C(C9=CC=C(C)C=C94)C=C8C)=[N]3C=C1,30,25,CF,0.153,c1(c2ncccc2)ncccc1,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,825.1129999999998,9.816179999999996,0,0,0,0,0,0,1,0,1,0,0.95418656,0.93611145,0.9779184,0.947826,1.0,0.963208482,0.93141689763704,0.99500006636296,,,,,,,,,,,0.2064036997421732
39,39,39,39,39,39,39,39,metal_catalyst,GMT-oNF-2,Acetonitrile,CC(C)(C)C1=CC(C2=[N]3C=CC(C(C)(C)C)=C2)=[N]([Ir+]453([N]6=C(C7=C5C=CC=C7)C=CC=C6)C8=CC=CC=C8C9=CC=CC=[N]94)C=C1,30,25,CF,0.153,c1(c2ncccc2)ncccc1,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,769.005,8.582500000000005,0,0,0,0,0,0,1,0,1,0,0.92809975,0.88558006,0.9575714,0.92409086,0.99784195,0.938636804,0.8866890771489413,0.9905845308510586,,,,,,,,,,,0.23278610551235626
40,40,40,40,40,40,40,40,metal_catalyst,GMT-oNF-2,Acetonitrile,FC(C(C=C1)=C[N]2=C1C3=CC=CC=[N]3[Ir+]245([N]6=CC=CC=C6C7=C5C=C(C(F)(F)F)C=C7)[N]8=C(C9=C4C=C(C(F)(F)F)C=C9)C=CC=C8)(F)F,30,25,CF,0.153,c1(c2ncccc2)ncccc1,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,860.7800000000004,9.0439,0,0,0,0,0,0,1,0,1,0,0.91799796,0.8857774,0.9780424,0.92675173,0.9790014,0.937514178,0.8873183324500947,0.9877100235499052,,,,,,,,,,,0.21908194945668275
41,41,41,41,41,41,41,41,metal_catalyst,GMT-oNF-2,Acetonitrile,CC(C1=CC=C(C2=[N]([Ir+]345([N]6=CC=CC=C6C7=[N]5C=CC=C7)C8=C(C9=[N]4C=CC=C9)C=CC(C(C)(C)C)=C8)C=CC=C2)C3=C1)(C)C,30,25,CF,0.153,c1(c2ncccc2)ncccc1,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,769.005,8.582500000000005,0,0,0,0,0,0,1,0,1,0,0.9279526,0.8862543,0.95757145,0.9238244,0.99804413,0.938729376,0.8869161395406943,0.990542612459306,,,,,,,,,,,0.2175823626469593
42,42,42,42,42,42,42,42,metal_catalyst,GMT-oNF-2,Acetonitrile,FC1=CC=C(C2=[N]([Ir+]345([N]6=CC=C(C(C)(C)C)C=C6C7=[N]5C=CC(C(C)(C)C)=C7)C8=C(C9=[N]4C=CC=C9)C=CC(F)=C8)C=CC=C2)C3=C1,30,25,CF,0.153,c1(c2ncccc2)ncccc1,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,804.9850000000001,8.860700000000003,0,0,0,0,0,0,1,0,1,0,0.9307817,0.88862216,0.9725704,0.92582643,0.9950645,0.942573038,0.8906847883636341,0.9944612876363658,,,,,,,,,,,0.24561704668928597
43,43,43,43,43,43,43,43,metal_catalyst,GMT-oNF-2,Acetonitrile,CC(C)(C)C1=CC=[N]([Ir+]23([N]4=C(C5=C3C=C(F)C=C5F)C=CC(C(F)(F)F)=C4)6C(C=C(C(F)(F)F)C=C7)=C7C8=C(F)C=C(F)C=[N]82)C(C9=[N]6C=CC(C(C)(C)C)=C9)=C1,30,25,CF,0.153,c1(c2ncccc2)ncccc1,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,976.959,11.176499999999988,0,0,0,0,0,0,1,0,1,0,0.9409682,0.9163825,1.0,0.9406027,0.97744226,0.955079132,0.9137851287771588,0.9963731352228412,,,,,,,,,,,0.1964414927803102
44,44,44,44,44,44,44,44,metal_catalyst,GMT-oNF-2,Acetonitrile,CC1=CC(C2=CC=C(C)C=C2[Ir+3]345([N](C=C6)=C(C7=[N]5C=CC(C(C)(C)C)=C7)C=C6C(C)(C)C)[N](C=C8)=C(C9=CC=C(C)C=C94)C=C8C)=[N]3C=C1,30,25,CF,0.153,c1(c2ccccc2)ccccn1,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,825.1129999999998,9.816179999999996,0,0,0,0,0,0,1,0,1,0,0.95418656,0.93611157,0.9779184,0.947826,1.0,0.9632085060000002,0.931416961059025,0.9950000509409752,,,,,,,,,,,0.2346735176753323
45,45,45,45,45,45,45,45,metal_catalyst,GMT-oNF-2,Acetonitrile,CC(C)(C)C1=CC(C2=[N]3C=CC(C(C)(C)C)=C2)=[N]([Ir+]453([N]6=C(C7=C5C=CC=C7)C=CC=C6)C8=CC=CC=C8C9=CC=CC=[N]94)C=C1,30,25,CF,0.153,c1(c2ccccc2)ccccn1,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,769.005,8.582500000000005,0,0,0,0,0,0,1,0,1,0,0.92809975,0.88558006,0.9575713,0.92409086,0.99784195,0.938636784,0.8866890711976635,0.9905844968023366,,,,,,,,,,,0.22213931229649755
46,46,46,46,46,46,46,46,metal_catalyst,GMT-oNF-2,Acetonitrile,FC(C(C=C1)=C[N]2=C1C3=CC=CC=[N]3[Ir+]245([N]6=CC=CC=C6C7=C5C=C(C(F)(F)F)C=C7)[N]8=C(C9=C4C=C(C(F)(F)F)C=C9)C=CC=C8)(F)F,30,25,CF,0.153,c1(c2ccccc2)ccccn1,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,860.7800000000004,9.0439,0,0,0,0,0,0,1,0,1,0,0.91799796,0.8857774,0.9780424,0.9267517,0.9790014,0.937514172,0.8873183239708853,0.9877100200291148,,,,,,,,,,,0.22492622021796568
47,47,47,47,47,47,47,47,metal_catalyst,GMT-oNF-2,Acetonitrile,C1(C2=CC=CC=C23)=[N]([Ir]345([N]6=C(C7=CC=CC=C75)C=CC=C6)[N]8=C(C9=CC=CC=C94)C=CC=C8)C=CC=C1,30,25,CF,0.153,c1(c2ccccc2)ccccn1,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,654.7930000000002,5.767100000000005,0,0,0,0,0,0,1,0,1,0,0.93583214,0.82119226,0.9532192,0.9347415,0.9663106,0.92225914,0.8502490338862744,0.9942692461137258,,,,,,,,,,,0.23774891499742906
48,48,48,48,48,48,48,48,metal_catalyst,GMT-oNF-2,Acetonitrile,CC(C1=CC=C(C2=[N]([Ir+]345([N]6=CC=CC=C6C7=[N]5C=CC=C7)C8=C(C9=[N]4C=CC=C9)C=CC(C(C)(C)C)=C8)C=CC=C2)C3=C1)(C)C,30,25,CF,0.153,c1(c2ccccc2)ccccn1,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,769.005,8.582500000000005,0,0,0,0,0,0,1,0,1,0,0.9279526,0.8862543,0.95757145,0.9238244,0.99804413,0.938729376,0.8869161395406943,0.990542612459306,,,,,,,,,,,0.22812240325978825
49,49,49,49,49,49,49,49,metal_catalyst,GMT-oNF-2,Acetonitrile,FC1=CC=C(C2=[N]([Ir+]345([N]6=CC=C(C(C)(C)C)C=C6C7=[N]5C=CC(C(C)(C)C)=C7)C8=C(C9=[N]4C=CC=C9)C=CC(F)=C8)C=CC=C2)C3=C1,30,25,CF,0.153,c1(c2ccccc2)ccccn1,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,804.9850000000001,8.860700000000003,0,0,0,0,0,0,1,0,1,0,0.9307817,0.88862216,0.9725704,0.92582643,0.9950645,0.942573038,0.8906847883636341,0.9944612876363658,,,,,,,,,,,0.2260405628120198
50,50,50,50,50,50,50,50,metal_catalyst,GMT-oNF-2,Acetonitrile,CC(C)(C)C1=CC=[N]([Ir+]23([N]4=C(C5=C3C=C(F)C=C5F)C=CC(C(F)(F)F)=C4)6C(C=C(C(F)(F)F)C=C7)=C7C8=C(F)C=C(F)C=[N]82)C(C9=[N]6C=CC(C(C)(C)C)=C9)=C1,30,25,CF,0.153,c1(c2ccccc2)ccccn1,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,976.959,11.176499999999988,0,0,0,0,0,0,1,0,1,0,0.9409682,0.91638255,1.0,0.94060266,0.97744226,0.955079134,0.913785143431747,0.996373124568253,,,,,,,,,,,0.2075816342088043
51,51,51,51,51,51,51,51,metal_catalyst,GMT-oNF-2,Acetonitrile,FC1=CC(F)=CC2=C1C3=CC=CC=[N]3[Ir]245([N]6=C(C(O5)=O)C=CC=C6)[N]7=CC=CC=C7C8=C4C=C(F)C=C8F,30,25,CF,0.153,c1(c2ccccc2)ccccn1,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,694.6640000000001,5.103000000000002,0,0,0,0,0,0,1,0,1,0,0.956264,0.828951,0.9798075,0.95250565,0.97843194,0.939192018,0.8611270504355713,1.017256985564429,,,,,,,,,,,0.27038587753672194
52,52,52,52,52,52,52,52,metal_catalyst,GMT-oNF-2,Acetonitrile,CC([P]1(NC2=CC=CC(N3)=[N]2[Mn+]1(C=O)(C=O)[P]3(C(C)(C)C)C(C)(C)C)C(C)(C)C)(C)C,30,25,CF,0.153,[NH]c1nc([NH])ccc1,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,510.5020000000004,7.342500000000007,0,0,0,0,0,0,1,0,1,0,0.90067685,0.9176377,0.9496411,0.9570229,0.9920069,0.94339709,0.8991646984526035,0.9876294815473966,,,,,,,,,,,0.19548171112934748
53,53,53,53,53,53,53,53,metal_catalyst,GMT-oNF-2,Acetonitrile,Cl[Ni]12[N]3=C(N[P]2(c4ccccc4)c5ccccc5)C=CC=C3N[P]1(c6ccccc6)c7ccccc7,30,25,CF,0.153,[NH]c1nc([NH])ccc1,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,571.6340000000001,6.6882000000000055,0,0,0,0,0,0,1,0,1,0,0.90861833,0.91111577,0.96022797,0.9103435,0.9345424,0.924969594,0.8971496237968078,0.952789564203192,,,,,,,,,,,0.20995910519208666
54,54,54,54,54,54,54,54,metal_catalyst,GMT-oNF-2,Acetonitrile,Cl[Ni]12[N]3=C(N[P]2(C(C)(C)C)C(C)(C)C)C=CC=C3N[P]1(c4ccccc4)c5ccccc5,30,25,CF,0.153,[NH]c1nc([NH])ccc1,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,531.6540000000001,7.634200000000008,0,0,0,0,0,0,1,0,1,0,0.9218064,0.90332526,0.908521,0.9233378,0.94125617,0.919649326,0.9012803739268662,0.938018278073134,,,,,,,,,,,0.20543896959108462
55,55,55,55,55,55,55,55,metal_catalyst,GMT-oNF-2,Acetonitrile,Br[Ni]12[N]3=C(C=CC=C3N[P]2(C(C)(C)C)C(C)(C)C)N[P]1(C(C)(C)C)C(C)(C)C,30,25,CF,0.153,[NH]c1nc([NH])ccc1,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,536.1250000000003,8.736300000000002,0,0,0,0,0,0,1,0,1,0,0.94173557,0.9257879,0.95293033,0.9750906,0.99639404,0.958387688,0.9238586439723736,0.9929167320276262,,,,,,,,,,,0.2210036455557264
56,56,56,56,56,56,56,56,metal_catalyst,GMT-oNF-2,Acetonitrile,Cl[Ni]12[N]3=C(C=CC=C3N[P]2(C(C)(C)C)C(C)(C)C)N[P]1(C(C)(C)C)C(C)(C)C,30,25,CF,0.153,[NH]c1nc([NH])ccc1,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,491.6740000000003,8.580200000000003,0,0,0,0,0,0,1,0,1,0,0.93645215,0.93933976,0.9296833,0.9411763,0.9939662,0.948123542,0.915844861745698,0.980402222254302,,,,,,,,,,,0.20337794004329318
57,57,57,57,57,57,57,57,metal_catalyst,GMT-oNF-2,Acetonitrile,[H][Ru]12(Cl)(C=O)[N]3=C(N[P](C(C)(C)C)2C(C)(C)C)C=CC=C3N[P](C(C)(C)C)1C(C)(C)C,30,25,CF,0.153,[NH]c1nc([NH])ccc1,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,564.0770000000002,8.038400000000006,0,0,0,0,0,0,1,0,1,0,0.9279248,0.89350617,0.90164244,0.8949276,0.94741404,0.91308301,0.8836824583164408,0.9424835616835592,,,,,,,,,,,0.20208149062049005
58,0,0,0,0,0,0,0,organocatalyst,GMT-oNF-2,Acetonitrile,N#Cc1c(n2c3ccccc3c4ccccc24)c(C#N)c(n(c5c6cccc5)c7c6cccc7)c(n(c8c9cccc8)c%10c9cccc%10)c1n(c%11c%12cccc%11)c%13c%12cccc%13,30,25,CF,0.153,c12c(c3c([#7]2)cccc3)cccc1,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,788.914,13.818359999999974,0,0,0,0,0,0,1,0,1,0,,,,,,0.9764789539999998,0.9420783710688,1.0108795369311998,0.93922293,0.98783314,0.9553387,1.0,1.0,,,,,,0.20169768806766064
59,1,1,1,1,1,1,1,organocatalyst,GMT-oNF-2,Acetonitrile,N#Cc1c(n2c3ccccc3c4ccccc24)c(C#N)c(n5c6ccccc6c7ccccc57)c(Cl)c1n8c9ccccc9c%10ccccc8%10,30,25,CF,0.153,c12c(c3c([#7]2)cccc3)cccc1,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,658.1640000000001,11.374659999999984,0,0,0,0,0,0,1,0,1,0,,,,,,0.978735982,0.945417312092794,1.0120546519072062,0.97572225,0.99468976,0.9335314,0.9897365,1.0,,,,,,0.24843682953888485
60,2,2,2,2,2,2,2,organocatalyst,GMT-oNF-2,Acetonitrile,[H][C@@]1([C@@H](c(ccn2)c3c2ccc(OC)c3)OC(C45CC6CC(CC(C5)C6)C4)=O)C[C@@H]7CC[N@]1C[C@@H]7C=C,30,25,CF,0.153,CC12CC3CC(C2)CC(C3)C1,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,486.6560000000004,5.940500000000006,0,0,0,0,0,0,1,0,1,0,,,,,,0.921907876,0.8579092547875208,0.985906497212479,0.91068363,0.9391569,0.8630142,0.89668465,1.0,,,,,,0.28886417012948257
61,3,3,3,3,3,3,3,organocatalyst,GMT-oNF-2,Acetonitrile,c12cccnc1c3ccccc3cc2,30,25,CF,0.153,c1(c2ccccc2)ccccn1,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,179.22199999999998,3.3880000000000017,0,0,0,0,0,0,1,0,1,0,,,,,,0.288471192,0.1147242933937771,0.462218090606223,0.47603327,0.20518288,0.2246004,0.14314929,0.39339012,,,,,,0.29734453794856874
62,4,4,4,4,4,4,4,organocatalyst,GMT-oNF-2,Acetonitrile,[H][C@@]1([C@@H](c(ccn2)c3c2ccc(O)c3)OCc4cc(CO[C@@H]([C@]5([H])C[C@@H]6CC[N@]5C[C@@H]6C=C)c(ccn7)c8c7ccc(O)c8)cc(CO[C@@H]([C@]9([H])C[C@@H]%10CC[N@]9C[C@@H]%10C=C)c(ccn%11)c%12c%11ccc(O)c%12)c4)C[C@@H]%13CC[N@]1C[C@@H]%13C=C,30,25,CF,0.153,C=CC1C[N@@]2CC[C@H]1CC2,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,1045.3379999999995,11.910899999999987,0,0,0,0,0,0,1,0,1,0,,,,,,0.9748312,0.9296577808979912,1.020004619102009,0.9205947,1.0,0.9535613,1.0,1.0,,,,,,0.1250632325808207
63,5,5,5,5,5,5,5,organocatalyst,GMT-oNF-2,Acetonitrile,[H][C@@]1([C@@H](c(ccn2)c3c2ccc(OC)c3)O)C[C@@H]4CC[N@+]1(C[C@@H]4C=C)Cc5cc(C[N@+]6(CC[C@H]7C[C@@]6([H])[C@@H](c(ccn8)c9c8ccc(OC)c9)O)C[C@@H]7C=C)cc(C[N@+]%10(CC[C@H]%11C[C@@]%10([H])[C@@H](c(ccn%12)c%13c%12ccc(OC)c%13)O)C[C@@H]%11C=C)c5,30,25,CF,0.153,C=CC1C[N@@]2CC[C@H]1CC2,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,1090.443,11.29139999999999,0,0,0,0,0,0,1,0,1,0,,,,,,0.988075912,0.9556864534762396,1.0204653705237603,0.94141966,1.0,0.9989599,1.0,1.0,,,,,,0.13292038755855343
64,6,6,6,6,6,6,6,organocatalyst,GMT-oNF-2,Acetonitrile,[H][C@@]1([C@@H](c(ccn2)c3c2ccc(OC)c3)OC(C(C)(C)C)=O)C[C@@H]4CC[N@]1C[C@@H]4C=C,30,25,CF,0.153,C=CC1C[N@@]2CC[C@H]1CC2,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,408.5420000000002,4.770200000000004,0,0,0,0,0,0,1,0,1,0,,,,,,0.8773355479999999,0.7562564271758953,0.9984146688241046,0.885,0.9033407,0.72833824,0.8699988,1.0,,,,,,0.34796953697999317
65,7,7,7,7,7,7,7,organocatalyst,GMT-oNF-2,Acetonitrile,O=c(c(N[C@@H]([C@@H]1[N@@](CC[C@H]2C1)C[C@@H]2C=C)c3ccnc4ccc(OC)cc34)c5N6CCOCCOCCOCCOCC6)c5=O,30,25,CF,0.153,C=CC1C[N@@]2CC[C@H]1CC2,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,620.7470000000002,2.775400000000002,0,0,0,0,0,0,1,0,1,0,,,,,,0.959580696,0.9094879563139804,1.0096734356860195,1.0,0.92323303,0.9157483,0.95892215,1.0,,,,,,0.1899380282038136
66,8,8,8,8,8,8,8,organocatalyst,GMT-oNF-2,Acetonitrile,[H][C@@]1([C@@H](c(ccn2)c3c2ccc(OC)c3)OC(CCCCCCCCCCC)=O)C[C@@H]4CC[N@]1C[C@@H]4C=C,30,25,CF,0.153,C=CC1C[N@@]2CC[C@H]1CC2,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,506.7310000000005,7.645000000000008,0,0,0,0,0,0,1,0,1,0,,,,,,0.87612942,0.7633950662739916,0.9888637737260084,0.8639506,0.8944361,0.7451898,0.8770706,1.0,,,,,,0.28366891958496787
67,9,9,9,9,9,9,9,organocatalyst,GMT-oNF-2,Acetonitrile,N[C@H]([C@@H]1[N@@](CC[C@H]2C1)C[C@@H]2C=C)c3ccnc4ccc(OC)cc34,30,25,CF,0.153,C=CC1C[N@@]2CC[C@H]1CC2,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,323.4400000000001,3.139600000000001,0,0,0,0,0,0,1,0,1,0,,,,,,0.779499576,0.6363606343337564,0.9226385176662436,0.8731911,0.75206304,0.66204846,0.68567884,0.92451644,,,,,,0.20755325713578393
68,10,10,10,10,10,10,10,organocatalyst,GMT-oNF-2,Acetonitrile,[H][C@@]1([C@@H](c(ccn2)c3c2ccc(O)c3)OC(c4ccccc4)=O)C[C@@H]5CC[N@]1C[C@@H]5C=C,30,25,CF,0.153,C=CC1C[N@@]2CC[C@H]1CC2,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,414.5050000000002,4.734900000000004,0,0,0,0,0,0,1,0,1,0,,,,,,0.92180061,0.8254726421317808,1.0181285778682192,0.9136942,0.97127295,0.7976046,0.9264313,1.0,,,,,,0.3117330009287054
69,11,11,11,11,11,11,11,organocatalyst,GMT-oNF-2,Acetonitrile,[H][C@@]1([C@@H](c(ccn2)c3c2ccc(OC)c3)OCc4cc(CO[C@@H]([C@]5([H])C[C@@H]6CC[N@]5C[C@@H]6C=C)c(ccn7)c8c7ccc(OC)c8)cc(CO[C@@H]([C@]9([H])C[C@@H]%10CC[N@]9C[C@@H]%10C=C)c(ccn%11)c%12c%11ccc(OC)c%12)c4)C[C@@H]%13CC[N@]1C[C@@H]%13C=C,30,25,CF,0.153,C=CC1C[N@@]2CC[C@H]1CC2,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,1087.4189999999996,12.81989999999998,0,0,0,0,0,0,1,0,1,0,,,,,,0.977398126,0.9392695950668832,1.0155266569331167,0.938838,1.0,0.9491646,0.99898803,1.0,,,,,,0.12040277952435377
70,12,12,12,12,12,12,12,organocatalyst,GMT-oNF-2,Acetonitrile,[H][C@@]1([C@@H](c(ccn2)c3c2ccc(O)c3)O)C[C@@H]4CC[N@]1C[C@@H]4C=C,30,25,CF,0.153,C=CC1C[N@@]2CC[C@H]1CC2,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,310.39700000000005,2.8702000000000005,0,0,0,0,0,0,1,0,1,0,,,,,,0.933630094,0.8707440201761383,0.9965161678238617,0.875234,0.9190378,0.9036947,0.97018397,1.0,,,,,,0.3619691396611078
71,13,13,13,13,13,13,13,organocatalyst,GMT-oNF-2,Acetonitrile,[H][C@@]1([C@@H](c(ccn2)c3c2ccc(OC)c3)OC(C45CC6CC(CC(C5)C6)C4)=O)C[C@@H]7CC[N@]1C[C@@H]7C=C,30,25,CF,0.153,C=CC1C[N@@]2CC[C@H]1CC2,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,486.6560000000004,5.940500000000006,0,0,0,0,0,0,1,0,1,0,,,,,,0.921907876,0.8579092547875208,0.985906497212479,0.91068363,0.9391569,0.8630142,0.89668465,1.0,,,,,,0.2699243302528675
72,14,14,14,14,14,14,14,organocatalyst,GMT-oNF-2,Acetonitrile,[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2C=C)[C@H](O)c(ccn3)c4c3ccc(OC)c4,30,25,CF,0.153,C=CC1C[N@@]2CC[C@H]1CC2,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,324.4240000000001,3.1732000000000014,0,0,0,0,0,0,1,0,1,0,,,,,,0.8319284140000001,0.6827400577866187,0.9811167702133814,0.891801,0.8314308,0.63915133,0.83499014,0.9622688,,,,,,0.30421781452263097
